"","quest","STATE","answer","n","region"
"1418","What do you call the area of grass that occurs in the middle of some streets?","LA","neutral ground ",166,"louisiana"
"1419","What do you call the area of grass that occurs in the middle of some streets?","MA","island ",860,"massachusetts"
"1420","What do you call the area of grass that occurs in the middle of some streets?","MD","island ",316,"maryland"
"1421","What do you call the area of grass that occurs in the middle of some streets?","ME","island ",97,"maine"
"1422","What do you call the area of grass that occurs in the middle of some streets?","MI","island ",739,"michigan"
"1423","What do you call the area of grass that occurs in the middle of some streets?","MN","island ",491,"minnesota"
"1424","What do you call the area of grass that occurs in the middle of some streets?","MO","island ",849,"missouri"
"1425","What do you call the area of grass that occurs in the middle of some streets?","MS","other ",69,"mississippi"
"1426","What do you call the area of grass that occurs in the middle of some streets?","MT","island ",146,"montana"
"1427","What do you call the area of grass that occurs in the middle of some streets?","NC","island ",267,"north carolina"
"1428","What do you call the area of grass that occurs in the middle of some streets?","ND","island ",62,"north dakota"
"1429","What do you call the area of grass that occurs in the middle of some streets?","NE","island ",155,"nebraska"
"1430","What do you call the area of grass that occurs in the middle of some streets?","NH","island ",124,"new hampshire"
"1431","What do you call the area of grass that occurs in the middle of some streets?","NJ","island ",820,"new jersey"
"1432","What do you call the area of grass that occurs in the middle of some streets?","NM","island ",80,"new mexico"
"1433","What do you call the area of grass that occurs in the middle of some streets?","NV","island ",65,"nevada"
"1434","What do you call the area of grass that occurs in the middle of some streets?","NY","island ",1697,"new york"
"1435","What do you call the area of grass that occurs in the middle of some streets?","OH","island ",714,"ohio"
"1436","What do you call the area of grass that occurs in the middle of some streets?","OK","island ",133,"oklahoma"
"1437","What do you call the area of grass that occurs in the middle of some streets?","OR","island ",291,"oregon"
"1438","What do you call the area of grass that occurs in the middle of some streets?","PA","island ",1245,"pennsylvania"
"1439","What do you call the area of grass that occurs in the middle of some streets?","RI","island ",105,"rhode island"
"1440","What do you call the area of grass that occurs in the middle of some streets?","SC","island ",142,"south carolina"
"1441","What do you call the area of grass that occurs in the middle of some streets?","SD","boulevard ",135,"south dakota"
"1442","What do you call the area of grass that occurs in the middle of some streets?","TN","island ",220,"tennessee"
"1443","What do you call the area of grass that occurs in the middle of some streets?","TX","island ",983,"texas"
"1444","What do you call the area of grass that occurs in the middle of some streets?","UT","island ",187,"utah"
"1445","What do you call the area of grass that occurs in the middle of some streets?","VA","island ",470,"virginia"
"1446","What do you call the area of grass that occurs in the middle of some streets?","VT","island ",63,"vermont"
"1447","What do you call the area of grass that occurs in the middle of some streets?","WA","island ",798,"washington"
"1448","What do you call the area of grass that occurs in the middle of some streets?","WI","boulevard ",459,"wisconsin"
"1449","What do you call the area of grass that occurs in the middle of some streets?","WV","island ",75,"west virginia"
"1450","What do you call the area of grass that occurs in the middle of some streets?","WY","island ",32,"wyoming"
"1451","What do you call the big clumps of dust that gather under furniture and in corners?","AK","dust bunnies ",76,"alaska"
"1452","What do you call the big clumps of dust that gather under furniture and in corners?","AL","dust bunnies ",287,"alabama"
"1453","What do you call the big clumps of dust that gather under furniture and in corners?","AR","dust bunnies ",148,"arkansas"
"1454","What do you call the big clumps of dust that gather under furniture and in corners?","AZ","dust bunnies ",272,"arizona"
"1455","What do you call the big clumps of dust that gather under furniture and in corners?","CA","dust bunnies ",2611,"california"
"1456","What do you call the big clumps of dust that gather under furniture and in corners?","CO","dust bunnies ",422,"colorado"
"1457","What do you call the big clumps of dust that gather under furniture and in corners?","CT","dust bunnies ",715,"connecticut"
"1458","What do you call the big clumps of dust that gather under furniture and in corners?","DE","dust bunnies ",70,"delaware"
"1459","What do you call the big clumps of dust that gather under furniture and in corners?","FL","dust bunnies ",801,"florida"
"1460","What do you call the big clumps of dust that gather under furniture and in corners?","GA","dust bunnies ",477,"georgia"
"1461","What do you call the big clumps of dust that gather under furniture and in corners?","HI","dust bunnies ",62,"hawaii"
"1462","What do you call the big clumps of dust that gather under furniture and in corners?","IA","dust bunnies ",722,"iowa"
"1463","What do you call the big clumps of dust that gather under furniture and in corners?","ID","dust bunnies ",173,"idaho"
"1464","What do you call the big clumps of dust that gather under furniture and in corners?","IL","dust bunnies ",1861,"illinois"
"1465","What do you call the big clumps of dust that gather under furniture and in corners?","IN","dust bunnies ",1037,"indiana"
"1466","What do you call the big clumps of dust that gather under furniture and in corners?","KS","dust bunnies ",1051,"kansas"
"1467","What do you call the big clumps of dust that gather under furniture and in corners?","KY","dust bunnies ",355,"kentucky"
"1468","What do you call the big clumps of dust that gather under furniture and in corners?","LA","dust bunnies ",358,"louisiana"
"1469","What do you call the big clumps of dust that gather under furniture and in corners?","MA","dust bunnies ",1180,"massachusetts"
"1470","What do you call the big clumps of dust that gather under furniture and in corners?","MD","dust bunnies ",552,"maryland"
"1471","What do you call the big clumps of dust that gather under furniture and in corners?","ME","dust bunnies ",143,"maine"
"1472","What do you call the big clumps of dust that gather under furniture and in corners?","MI","dust bunnies ",1420,"michigan"
"1473","What do you call the big clumps of dust that gather under furniture and in corners?","MN","dust bunnies ",1000,"minnesota"
"1474","What do you call the big clumps of dust that gather under furniture and in corners?","MO","dust bunnies ",1454,"missouri"
"1475","What do you call the big clumps of dust that gather under furniture and in corners?","MS","dust bunnies ",157,"mississippi"
"1476","What do you call the big clumps of dust that gather under furniture and in corners?","MT","dust bunnies ",282,"montana"
"1477","What do you call the big clumps of dust that gather under furniture and in corners?","NC","dust bunnies ",508,"north carolina"
"1478","What do you call the big clumps of dust that gather under furniture and in corners?","ND","dust bunnies ",159,"north dakota"
"1479","What do you call the big clumps of dust that gather under furniture and in corners?","NE","dust bunnies ",250,"nebraska"
"1480","What do you call the big clumps of dust that gather under furniture and in corners?","NH","dust bunnies ",164,"new hampshire"
"1481","What do you call the big clumps of dust that gather under furniture and in corners?","NJ","dust bunnies ",1070,"new jersey"
"1482","What do you call the big clumps of dust that gather under furniture and in corners?","NM","dust bunnies ",142,"new mexico"
"1483","What do you call the big clumps of dust that gather under furniture and in corners?","NV","dust bunnies ",90,"nevada"
"1484","What do you call the big clumps of dust that gather under furniture and in corners?","NY","dust bunnies ",2323,"new york"
"1485","What do you call the big clumps of dust that gather under furniture and in corners?","OH","dust bunnies ",1320,"ohio"
"1486","What do you call the big clumps of dust that gather under furniture and in corners?","OK","dust bunnies ",293,"oklahoma"
"1487","What do you call the big clumps of dust that gather under furniture and in corners?","OR","dust bunnies ",425,"oregon"
"1488","What do you call the big clumps of dust that gather under furniture and in corners?","PA","dust bunnies ",1820,"pennsylvania"
"1489","What do you call the big clumps of dust that gather under furniture and in corners?","RI","dust bunnies ",129,"rhode island"
"1490","What do you call the big clumps of dust that gather under furniture and in corners?","SC","dust bunnies ",205,"south carolina"
"1491","What do you call the big clumps of dust that gather under furniture and in corners?","SD","dust bunnies ",223,"south dakota"
"1492","What do you call the big clumps of dust that gather under furniture and in corners?","TN","dust bunnies ",441,"tennessee"
"1493","What do you call the big clumps of dust that gather under furniture and in corners?","TX","dust bunnies ",1734,"texas"
"1494","What do you call the big clumps of dust that gather under furniture and in corners?","UT","dust bunnies ",213,"utah"
"1495","What do you call the big clumps of dust that gather under furniture and in corners?","VA","dust bunnies ",875,"virginia"
"1496","What do you call the big clumps of dust that gather under furniture and in corners?","VT","dust bunnies ",120,"vermont"
"1497","What do you call the big clumps of dust that gather under furniture and in corners?","WA","dust bunnies ",1377,"washington"
"1498","What do you call the big clumps of dust that gather under furniture and in corners?","WI","dust bunnies ",1092,"wisconsin"
"1499","What do you call the big clumps of dust that gather under furniture and in corners?","WV","dust bunnies ",154,"west virginia"
"1500","What do you call the big clumps of dust that gather under furniture and in corners?","WY","dust bunnies ",68,"wyoming"
"1501","What do you call the box you bury a dead person in?","AK","coffin",71,"alaska"
"1502","What do you call the box you bury a dead person in?","AL","coffin",210,"alabama"
"1503","What do you call the box you bury a dead person in?","AR","coffin",127,"arkansas"
"1504","What do you call the box you bury a dead person in?","AZ","coffin",226,"arizona"
"1505","What do you call the box you bury a dead person in?","CA","coffin",2435,"california"
"1506","What do you call the box you bury a dead person in?","CO","coffin",377,"colorado"
"1507","What do you call the box you bury a dead person in?","CT","coffin",659,"connecticut"
"1508","What do you call the box you bury a dead person in?","DE","coffin",65,"delaware"
"1509","What do you call the box you bury a dead person in?","FL","coffin",777,"florida"
"1510","What do you call the box you bury a dead person in?","GA","coffin",395,"georgia"
"1511","What do you call the box you bury a dead person in?","HI","coffin",78,"hawaii"
"1512","What do you call the box you bury a dead person in?","IA","coffin",471,"iowa"
"1513","What do you call the box you bury a dead person in?","ID","coffin",157,"idaho"
"1514","What do you call the box you bury a dead person in?","IL","coffin",1546,"illinois"
"1515","What do you call the box you bury a dead person in?","IN","coffin",638,"indiana"
"1516","What do you call the box you bury a dead person in?","KS","coffin",712,"kansas"
"1517","What do you call the box you bury a dead person in?","KY","coffin",258,"kentucky"
"1518","What do you call the box you bury a dead person in?","LA","coffin",332,"louisiana"
"1519","What do you call the box you bury a dead person in?","MA","coffin",1037,"massachusetts"
"1520","What do you call the box you bury a dead person in?","MD","coffin",515,"maryland"
"1521","What do you call the box you bury a dead person in?","ME","coffin",108,"maine"
"1522","What do you call the box you bury a dead person in?","MI","coffin",1116,"michigan"
"1523","What do you call the box you bury a dead person in?","MN","coffin",772,"minnesota"
"1524","What do you call the box you bury a dead person in?","MO","coffin",1020,"missouri"
"1525","What do you call the box you bury a dead person in?","MS","coffin",111,"mississippi"
"1526","What do you call the box you bury a dead person in?","MT","coffin",207,"montana"
"1527","What do you call the box you bury a dead person in?","NC","coffin",407,"north carolina"
"1528","What do you call the box you bury a dead person in?","ND","coffin",115,"north dakota"
"1529","What do you call the box you bury a dead person in?","NE","coffin",173,"nebraska"
"1530","What do you call the box you bury a dead person in?","NH","coffin",165,"new hampshire"
"1531","What do you call the box you bury a dead person in?","NJ","coffin",1090,"new jersey"
"1532","What do you call the box you bury a dead person in?","NM","coffin",127,"new mexico"
"1533","What do you call the box you bury a dead person in?","NV","coffin",82,"nevada"
"1534","What do you call the box you bury a dead person in?","NY","coffin",2389,"new york"
"1535","What do you call the box you bury a dead person in?","OH","coffin",1068,"ohio"
"1536","What do you call the box you bury a dead person in?","OK","coffin",208,"oklahoma"
"1537","What do you call the box you bury a dead person in?","OR","coffin",360,"oregon"
"1538","What do you call the box you bury a dead person in?","PA","coffin",1589,"pennsylvania"
"1539","What do you call the box you bury a dead person in?","RI","coffin",115,"rhode island"
"1540","What do you call the box you bury a dead person in?","SC","coffin",179,"south carolina"
"1541","What do you call the box you bury a dead person in?","SD","coffin",155,"south dakota"
"1542","What do you call the box you bury a dead person in?","TN","coffin",336,"tennessee"
"1543","What do you call the box you bury a dead person in?","TX","coffin",1602,"texas"
"1544","What do you call the box you bury a dead person in?","UT","coffin",159,"utah"
"1545","What do you call the box you bury a dead person in?","VA","coffin",782,"virginia"
"1546","What do you call the box you bury a dead person in?","VT","coffin",109,"vermont"
"1547","What do you call the box you bury a dead person in?","WA","coffin",1227,"washington"
"1548","What do you call the box you bury a dead person in?","WI","coffin",907,"wisconsin"
"1549","What do you call the box you bury a dead person in?","WV","coffin",109,"west virginia"
"1550","What do you call the box you bury a dead person in?","WY","coffin",57,"wyoming"
"1551","What do you call the drink made with milk and ice cream?","AK","milkshake/shake ",92,"alaska"
"1552","What do you call the drink made with milk and ice cream?","AL","milkshake/shake ",400,"alabama"
"1553","What do you call the drink made with milk and ice cream?","AR","milkshake/shake ",214,"arkansas"
"1554","What do you call the drink made with milk and ice cream?","AZ","milkshake/shake ",354,"arizona"
"1555","What do you call the drink made with milk and ice cream?","CA","milkshake/shake ",3577,"california"
"1556","What do you call the drink made with milk and ice cream?","CO","milkshake/shake ",592,"colorado"
"1557","What do you call the drink made with milk and ice cream?","CT","milkshake/shake ",1013,"connecticut"
"1558","What do you call the drink made with milk and ice cream?","DE","milkshake/shake ",98,"delaware"
"1559","What do you call the drink made with milk and ice cream?","FL","milkshake/shake ",1207,"florida"
"1560","What do you call the drink made with milk and ice cream?","GA","milkshake/shake ",668,"georgia"
"1561","What do you call the drink made with milk and ice cream?","HI","milkshake/shake ",104,"hawaii"
"1562","What do you call the drink made with milk and ice cream?","IA","milkshake/shake ",932,"iowa"
"1563","What do you call the drink made with milk and ice cream?","ID","milkshake/shake ",229,"idaho"
"1564","What do you call the drink made with milk and ice cream?","IL","milkshake/shake ",2559,"illinois"
"1565","What do you call the drink made with milk and ice cream?","IN","milkshake/shake ",1321,"indiana"
"1566","What do you call the drink made with milk and ice cream?","KS","milkshake/shake ",1377,"kansas"
"1567","What do you call the drink made with milk and ice cream?","KY","milkshake/shake ",500,"kentucky"
"1568","What do you call the drink made with milk and ice cream?","LA","milkshake/shake ",503,"louisiana"
"1569","What do you call the drink made with milk and ice cream?","MA","milkshake/shake ",1112,"massachusetts"
"1570","What do you call the drink made with milk and ice cream?","MD","milkshake/shake ",743,"maryland"
"1571","What do you call the drink made with milk and ice cream?","ME","milkshake/shake ",164,"maine"
"1572","What do you call the drink made with milk and ice cream?","MI","milkshake/shake ",1964,"michigan"
"1573","What do you call the drink made with milk and ice cream?","MN","milkshake/shake ",1252,"minnesota"
"1574","What do you call the drink made with milk and ice cream?","MO","milkshake/shake ",1923,"missouri"
"1575","What do you call the drink made with milk and ice cream?","MS","milkshake/shake ",219,"mississippi"
"1576","What do you call the drink made with milk and ice cream?","MT","milkshake/shake ",360,"montana"
"1577","What do you call the drink made with milk and ice cream?","NC","milkshake/shake ",664,"north carolina"
"1578","What do you call the drink made with milk and ice cream?","ND","milkshake/shake ",195,"north dakota"
"1579","What do you call the drink made with milk and ice cream?","NE","milkshake/shake ",313,"nebraska"
"1580","What do you call the drink made with milk and ice cream?","NH","milkshake/shake ",158,"new hampshire"
"1581","What do you call the drink made with milk and ice cream?","NJ","milkshake/shake ",1524,"new jersey"
"1582","What do you call the drink made with milk and ice cream?","NM","milkshake/shake ",192,"new mexico"
"1583","What do you call the drink made with milk and ice cream?","NV","milkshake/shake ",108,"nevada"
"1584","What do you call the drink made with milk and ice cream?","NY","milkshake/shake ",3426,"new york"
"1585","What do you call the drink made with milk and ice cream?","OH","milkshake/shake ",1818,"ohio"
"1586","What do you call the drink made with milk and ice cream?","OK","milkshake/shake ",395,"oklahoma"
"1587","What do you call the drink made with milk and ice cream?","OR","milkshake/shake ",541,"oregon"
"1588","What do you call the drink made with milk and ice cream?","PA","milkshake/shake ",2573,"pennsylvania"
"1589","What do you call the drink made with milk and ice cream?","RI","milkshake/shake ",109,"rhode island"
"1590","What do you call the drink made with milk and ice cream?","SC","milkshake/shake ",291,"south carolina"
"1591","What do you call the drink made with milk and ice cream?","SD","milkshake/shake ",290,"south dakota"
"1592","What do you call the drink made with milk and ice cream?","TN","milkshake/shake ",615,"tennessee"
"1593","What do you call the drink made with milk and ice cream?","TX","milkshake/shake ",2521,"texas"
"1594","What do you call the drink made with milk and ice cream?","UT","milkshake/shake ",301,"utah"
"1595","What do you call the drink made with milk and ice cream?","VA","milkshake/shake ",1213,"virginia"
"1596","What do you call the drink made with milk and ice cream?","VT","milkshake/shake ",134,"vermont"
"1597","What do you call the drink made with milk and ice cream?","WA","milkshake/shake ",1821,"washington"
"1598","What do you call the drink made with milk and ice cream?","WI","milkshake/shake ",1452,"wisconsin"
"1599","What do you call the drink made with milk and ice cream?","WV","milkshake/shake ",211,"west virginia"
"1600","What do you call the drink made with milk and ice cream?","WY","milkshake/shake ",92,"wyoming"
"1601","What do you call the end of a loaf of bread?","AK","heel ",73,"alaska"
"1602","What do you call the end of a loaf of bread?","AL","heel ",196,"alabama"
"1603","What do you call the end of a loaf of bread?","AR","heel ",176,"arkansas"
"1604","What do you call the end of a loaf of bread?","AZ","heel ",248,"arizona"
"1605","What do you call the end of a loaf of bread?","CA","heel ",2277,"california"
"1606","What do you call the end of a loaf of bread?","CO","heel ",387,"colorado"
"1607","What do you call the end of a loaf of bread?","CT","heel ",569,"connecticut"
"1608","What do you call the end of a loaf of bread?","DE","heel ",67,"delaware"
"1609","What do you call the end of a loaf of bread?","FL","heel ",672,"florida"
"1610","What do you call the end of a loaf of bread?","GA","heel ",335,"georgia"
"1611","What do you call the end of a loaf of bread?","HI","heel ",54,"hawaii"
"1612","What do you call the end of a loaf of bread?","IA","heel ",636,"iowa"
"1613","What do you call the end of a loaf of bread?","ID","heel ",172,"idaho"
"1614","What do you call the end of a loaf of bread?","IL","heel ",1670,"illinois"
"1615","What do you call the end of a loaf of bread?","IN","heel ",990,"indiana"
"1616","What do you call the end of a loaf of bread?","KS","heel ",1072,"kansas"
"1617","What do you call the end of a loaf of bread?","KY","heel ",405,"kentucky"
"1618","What do you call the end of a loaf of bread?","LA","heel ",253,"louisiana"
"1619","What do you call the end of a loaf of bread?","MA","heel ",927,"massachusetts"
"1620","What do you call the end of a loaf of bread?","MD","heel ",469,"maryland"
"1621","What do you call the end of a loaf of bread?","ME","heel ",142,"maine"
"1622","What do you call the end of a loaf of bread?","MI","heel ",1032,"michigan"
"1623","What do you call the end of a loaf of bread?","MN","heel ",664,"minnesota"
"1624","What do you call the end of a loaf of bread?","MO","heel ",1544,"missouri"
"1625","What do you call the end of a loaf of bread?","MS","heel ",105,"mississippi"
"1626","What do you call the end of a loaf of bread?","MT","heel ",258,"montana"
"1627","What do you call the end of a loaf of bread?","NC","heel ",424,"north carolina"
"1628","What do you call the end of a loaf of bread?","ND","heel ",102,"north dakota"
"1629","What do you call the end of a loaf of bread?","NE","heel ",230,"nebraska"
"1630","What do you call the end of a loaf of bread?","NH","heel ",142,"new hampshire"
"1631","What do you call the end of a loaf of bread?","NJ","heel ",717,"new jersey"
"1632","What do you call the end of a loaf of bread?","NM","heel ",141,"new mexico"
"1633","What do you call the end of a loaf of bread?","NV","heel ",73,"nevada"
"1634","What do you call the end of a loaf of bread?","NY","heel ",1739,"new york"
"1635","What do you call the end of a loaf of bread?","OH","heel ",1198,"ohio"
"1636","What do you call the end of a loaf of bread?","OK","heel ",330,"oklahoma"
"1637","What do you call the end of a loaf of bread?","OR","heel ",399,"oregon"
"1638","What do you call the end of a loaf of bread?","PA","heel ",1175,"pennsylvania"
"1639","What do you call the end of a loaf of bread?","RI","heel ",84,"rhode island"
"1640","What do you call the end of a loaf of bread?","SC","heel ",145,"south carolina"
"1641","What do you call the end of a loaf of bread?","SD","heel ",161,"south dakota"
"1642","What do you call the end of a loaf of bread?","TN","heel ",385,"tennessee"
"1643","What do you call the end of a loaf of bread?","TX","heel ",1837,"texas"
"1644","What do you call the end of a loaf of bread?","UT","heel ",195,"utah"
"1645","What do you call the end of a loaf of bread?","VA","heel ",788,"virginia"
"1646","What do you call the end of a loaf of bread?","VT","heel ",89,"vermont"
"1647","What do you call the end of a loaf of bread?","WA","heel ",1272,"washington"
"1648","What do you call the end of a loaf of bread?","WI","heel ",680,"wisconsin"
"1649","What do you call the end of a loaf of bread?","WV","heel ",177,"west virginia"
"1650","What do you call the end of a loaf of bread?","WY","heel ",76,"wyoming"
"1651","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","AK","I have never heard of this ""game"" and have no idea what it's called",44,"alaska"
"1652","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","AL","I have never heard of this ""game"" and have no idea what it's called",204,"alabama"
"1653","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","AR","I have never heard of this ""game"" and have no idea what it's called",85,"arkansas"
"1654","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","AZ","I have never heard of this ""game"" and have no idea what it's called",193,"arizona"
"1655","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","CA","I have never heard of this ""game"" and have no idea what it's called",1890,"california"
"1656","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","CO","I have never heard of this ""game"" and have no idea what it's called",278,"colorado"
"1657","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","CT","I have never heard of this ""game"" and have no idea what it's called",535,"connecticut"
"1658","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","DE","I have never heard of this ""game"" and have no idea what it's called",43,"delaware"
"1659","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","FL","I have never heard of this ""game"" and have no idea what it's called",671,"florida"
"1660","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","GA","I have never heard of this ""game"" and have no idea what it's called",349,"georgia"
"1661","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","HI","I have never heard of this ""game"" and have no idea what it's called",64,"hawaii"
"1662","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","IA","I have never heard of this ""game"" and have no idea what it's called",492,"iowa"
"1663","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","ID","I have never heard of this ""game"" and have no idea what it's called",101,"idaho"
"1664","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","IL","I have never heard of this ""game"" and have no idea what it's called",1229,"illinois"
"1665","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","IN","I have never heard of this ""game"" and have no idea what it's called",700,"indiana"
"1666","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","KS","I have never heard of this ""game"" and have no idea what it's called",687,"kansas"
"1667","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","KY","I have never heard of this ""game"" and have no idea what it's called",259,"kentucky"
"1668","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","LA","I have never heard of this ""game"" and have no idea what it's called",286,"louisiana"
"1669","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","MA","I have never heard of this ""game"" and have no idea what it's called",922,"massachusetts"
"1670","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","MD","I have never heard of this ""game"" and have no idea what it's called",417,"maryland"
"1671","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","ME","I have never heard of this ""game"" and have no idea what it's called",94,"maine"
"1672","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","MI","I have never heard of this ""game"" and have no idea what it's called",1004,"michigan"
"1673","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","MN","I have never heard of this ""game"" and have no idea what it's called",678,"minnesota"
"1674","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","MO","I have never heard of this ""game"" and have no idea what it's called",935,"missouri"
"1675","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","MS","I have never heard of this ""game"" and have no idea what it's called",110,"mississippi"
"1676","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","MT","I have never heard of this ""game"" and have no idea what it's called",150,"montana"
"1677","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","NC","I have never heard of this ""game"" and have no idea what it's called",362,"north carolina"
"1678","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","ND","I have never heard of this ""game"" and have no idea what it's called",111,"north dakota"
"1679","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","NE","I have never heard of this ""game"" and have no idea what it's called",159,"nebraska"
"1680","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","NH","I have never heard of this ""game"" and have no idea what it's called",134,"new hampshire"
"1681","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","NJ","I have never heard of this ""game"" and have no idea what it's called",865,"new jersey"
"1682","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","NM","I have never heard of this ""game"" and have no idea what it's called",87,"new mexico"
"1683","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","NV","I have never heard of this ""game"" and have no idea what it's called",52,"nevada"
"1684","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","NY","I have never heard of this ""game"" and have no idea what it's called",1820,"new york"
"1685","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","OH","I have never heard of this ""game"" and have no idea what it's called",902,"ohio"
"1686","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","OK","I have never heard of this ""game"" and have no idea what it's called",176,"oklahoma"
"1687","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","OR","I have never heard of this ""game"" and have no idea what it's called",264,"oregon"
"1688","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","PA","I have never heard of this ""game"" and have no idea what it's called",1371,"pennsylvania"
"1689","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","RI","I have never heard of this ""game"" and have no idea what it's called",97,"rhode island"
"1690","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","SC","I have never heard of this ""game"" and have no idea what it's called",177,"south carolina"
"1691","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","SD","I have never heard of this ""game"" and have no idea what it's called",172,"south dakota"
"1692","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","TN","I have never heard of this ""game"" and have no idea what it's called",282,"tennessee"
"1693","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","TX","I have never heard of this ""game"" and have no idea what it's called",1379,"texas"
"1694","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","UT","I have never heard of this ""game"" and have no idea what it's called",145,"utah"
"1695","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","VA","I have never heard of this ""game"" and have no idea what it's called",704,"virginia"
"1696","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","VT","I have never heard of this ""game"" and have no idea what it's called",75,"vermont"
"1697","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","WA","I have never heard of this ""game"" and have no idea what it's called",874,"washington"
"1698","What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","WI","I have never heard of this ""game"" and have no idea what it's called",796,"wisconsin"
